"Y","Med","Edad"
10.1952263625656,"No",">60"
8.88845403713059,"No",">60"
10.5042899654159,"No",">60"
9.9487729651867,"No",">60"
9.39318437255824,"No",">60"
9.32764017305938,"No",">60"
8.75682073371252,"No",">60"
10.226397977394,"No",">60"
10.3678501631086,"No",">60"
10.4169429210928,"No",">60"
8.06918258982614,"No",">60"
9.46176873630241,"No",">60"
10.3601926207173,"No",">60"
11.1956310253618,"No",">60"
8.73616931179754,"No",">60"
11.2782226027057,"No",">60"
11.4335761258261,"No",">60"
7.18111889210601,"No",">60"
9.90741766310007,"No",">60"
9.88041256377672,"No",">60"
11.5447706912798,"No",">60"
9.61680900596675,"No",">60"
9.75287092190327,"No",">60"
10.3364107514735,"No",">60"
9.11030874500734,"No",">60"
9.88906597250709,"No",">60"
10.3667633122215,"No",">60"
10.8933761465522,"No",">60"
9.46131232140231,"No",">60"
11.9807154732226,"No",">60"
10.6505393216986,"Si",">60"
9.14466833117791,"Si",">60"
9.9291496392869,"Si",">60"
9.86033622844781,"Si",">60"
8.87247596401824,"Si",">60"
11.6544676166089,"Si",">60"
8.46160725652284,"Si",">60"
10.4143602824516,"Si",">60"
10.6721639996204,"Si",">60"
8.81603339292909,"Si",">60"
12.0089671268266,"Si",">60"
8.76432932467012,"Si",">60"
9.1896928463853,"Si",">60"
9.19665082996552,"Si",">60"
10.7884506051675,"Si",">60"
9.96797638993362,"Si",">60"
9.69306385497662,"Si",">60"
9.41022932104571,"Si",">60"
9.70139752230032,"Si",">60"
9.2734476807024,"Si",">60"
10.1045150705027,"Si",">60"
9.33649825331955,"Si",">60"
9.51153595788646,"Si",">60"
8.83438986966595,"Si",">60"
9.8068531772918,"Si",">60"
9.1715469836103,"Si",">60"
9.60610153743678,"Si",">60"
8.71318450650623,"Si",">60"
9.23923384164299,"Si",">60"
7.83981804206148,"Si",">60"
10.0322099762384,"Si",">60"
9.75619314445777,"Si",">60"
10.0785045455361,"Si",">60"
9.56751182780009,"Si",">60"
9.12076530117313,"Si",">60"
8.20884440246507,"Si",">60"
10.0620153178082,"Si",">60"
11.0812850141799,"Si",">60"
10.8742002595884,"Si",">60"
10.3366381888796,"Si",">60"
9.3004471447402,"Si",">60"
9.06233358081183,"Si",">60"
10.6106111510464,"Si",">60"
10.3686311316706,"Si",">60"
8.84367092333767,"Si",">60"
9.59903647058877,"Si",">60"
10.5397822058924,"Si",">60"
8.26754739058505,"Si",">60"
10.7061028433858,"Si",">60"
9.1626642923139,"Si",">60"
10.3331926623593,"No","<=60"
10.0792299006866,"No","<=60"
10.42194645747,"No","<=60"
11.8598604349079,"No","<=60"
11.5297115415081,"No","<=60"
10.9522850574125,"No","<=60"
11.2143197041965,"No","<=60"
10.9560149649947,"No","<=60"
9.37775356785761,"No","<=60"
11.1063493168344,"No","<=60"
11.8812496578032,"No","<=60"
10.7723307253794,"No","<=60"
10.4121558390553,"No","<=60"
12.3820035102035,"No","<=60"
11.0375511262799,"No","<=60"
8.96325467406297,"No","<=60"
10.5304395436192,"No","<=60"
10.9937125189991,"No","<=60"
10.8895304355251,"No","<=60"
10.9951024477141,"No","<=60"
